Index,Title,Primary Subject,Secondary Subject,Inscription,Location,Date erected,Erected by,Notes,Count
0,The 19th-Century Neighborhood,Colonial/settler,,"Most of the 19th-century homes and churches built between downtown (upper left) and UM campus (lower right) have been lost to 20th-century commercial expansion. In what was once a neighborhood of quiet, unpaved tree-lined streets, residents could walk everywhere — to work, to shop, or to worship. Mansions that lined East Huron succumbed to gas stations, parking lots, and large buildings that dominated what became a major auto artery. On North Division, out of the path of development, some grand homes still remain, now protected in a historic district. Once one of the most fashionable parts of town, its houses had extensive grounds, richly adorned with flowers and trees.","42° 16.774′ N, 83° 44.635′ W",N/A,Ann Arbor Historical Foundation,,1
1,50 Years of Friendship,Colonial/settler,Foriegn nation,"Hikone, Shiga, Japan Ann Arbor, Michigan, U.S.A.
Sister Cities, 1969-2019 ""50 Years of Friendship""","42° 14.69′ N, 83° 42.702′ W",N/A,N/A,,1
2,Abolition and the Underground Railroad,Colonial/settler,African Americans/Enslaved/Freed Blacks/etc.,"Michigan’s Anti-Slavery Society was born in Ann Arbor in 1836. Starting in 1841, its weekly newspaper, The Signal of Liberty, was published in the Huron Block on Broadway by Rev. Guy Beckley and his co-editor Theodore Foster in an office above the store of Guy's brother Josiah Beckley.

Some abolitionists-individuals with strong convictions and considerable courage-helped fugitive slaves make their way to freedom. Guy Beckley was a ""conductor"" on the Underground Railroad, even though it was a federal crime to help escaping slaves. His house at 1425 Pontiac Trail was one of several secret ""stations"" in the area where ""passengers"" could stay while fleeing, Caroline Quarlls, who wrote about her flight from a Missouri plantation, stayed with Beckley in 1842 on her long journey to Canada.

Guy Beckley, an ordained Methodist Episcopal minister, arrived from New England in 1839 to join his prosperous brother Josiah, who had acquired considerable farmland and commercial properties in Lower Town. Both men built fine houses on Pontiac Trail and shared in the operation of Josiah's successful Huron Block general store. Paid Advertisement

Guy had only recently lost his wife Caroline. She was much on his mind and in his letters, but opposition to slavery dominated his thoughts and actions: ""I think that while I have my reason I shall continue to 'agitate, agitate, agitate,’ and if no other good is done I have the satisfaction of believing that I shall go down to my grave, as I have lived, the unflinching advocate of ‘equal rights.’"" Guy Beckley kept his promise-as did others in his family. Much of his time was spent lecturing and writing for the anti-slavery cause. He died in 1847 at a time when controversy was still stirring in the churches over the abolition of slavery. His brother Josiah, who had died four years earlier, and Josiah's children had been there to provide financial and moral support. Nancy Beckley Felch, sister of Guy and Josiah, was the wife of Sabin Felch, a local Liberty Party leader. Sabin Felch was on the executive committee of the Michigan Anti-Slavery Society and a candidate for various local and state offices. The Felchs lost two sons in the Civil War—""a sacrifice on the altar of liberty"".","42° 17.293′ N, 83° 44.078' W",2014,University of Michigan,,1
3,Acacia,Colonial/settler,,"In honor of the founders of Acacia, the National Council of the Fraternity has caused this tablet to be erected on the twenty-fifth anniversary of the founding of the order at the University of Michigan, where the Fraternity was instituted.

• Founders •
James Monroe Cooper, '03M • Benjamin Emanuel Deroy, L'02-'04 • Edward Everett Gallup, '06 • Jared Waldo Hawkins, '04L • Clarence George Hill, '05L • Harvey James Howard, '04 • George Arthur Malcolm, '04, L'06 • William J. Marshall, '05, M'09, MS'19 • Ernest Richard Ringo '04L • Harlan Page Rowe, '05 • Ralph Burton Scatterday, '04L • Charles Albert Sink, '04 • Harry Booth Washburn, '03, L'05 • Walter Stedman Wheeler, '04L • J.D. (Hon) '21","42° 16.586′ N, 83° 44.33′ W",1929,National Council of Acacia,,1
4,The Agricultural Works and Lower Town,Colonial/settler,,"In 1866 Lewis Moore and his son Eli began building an agricultural implement factory on the north bank of the river on the site of an old paper mill. By 1896 the Ann Arbor Agricultural Works, seen above in a fanciful drawing, covered three acres. It was one of the largest employers in town with a machine shop, warehouse, lumberyard, and its own railroad spur. The machinery was powered by water from the millrace, later supplemented by steam. The headrace ran under Broadway and the tailrace flowed out next to the foundry (lower right).

Sixty-five men manufactured a line of horse-drawn agricultural implements including “the Advance Hay Tedder, Advance Iron Mower, the Advance Sulky Rake, the Columbia Hay Press, the Advance Chilled Plow, and the Improved Cummings and Clipper Feed Cutter.” The company claimed a reputation for “first class goods in this line.” Eli Moore was the plant’s supervisor until 1903, when the business became the Ann Arbor Machine Company, manufacturing many of the same products. Edison acquired the property and built a warehouse on the site in 1928.

The Agricultural Works can be seen in this photograph Paid Advertisement
of Lower Town, taken from across the river on State Street around 1900. Down Wall Street to the right is the Fifth Ward School, built in 1855. It was replaced in 1909 by the Donovan School, named for Lower Town grocer Patrick Donovan. It was demolished in 1984 to make way for the UM Kellogg Eye Center.","42° 17.313′ N, 83° 44.421′ W",N/A,N/A,,1
5,"Agriculture, Water Power, and Transportation",Colonial/settler,,"Lower Town founder Anson Brown erected the first mill on Broadway in 1832 where Sinclair's mill was later located (labeled above). As shown in this 1870s photo of Lower Town and the Huron River from the hill above Plank Road (North Main Street today), Brown dammed the Huron River upstream to create a mill pond and raise the level of the water, which flowed down a millrace high above the river's north bank. This provided power for a flour mill, a woolen mill, a paper mill, and later industries.

Agriculture fueled the early economy of Lower Town. After 1839, when the railroad reached Ann Arbor from Detroit, paper, wool, flour, and feed from the mills, as well as livestock held in pens in the foreground, could be shipped to eastern markets. The economic survival of Lower Town was assured-though it would not be the center of town as Anson Brown had hoped.

After Anson Brown’s death in 1834, his widow Desire and his business partner Edward L. Fuller were eager to sell all their interests in Lower Town properties. The economic panic of 1837 seriously affected real estate values in Michigan. In 1839 William Sinclair Paid Advertisement purchased Anson Brown's mill, repairing it and installing new machinery. Sinclair's first mill was reported to have ground 800 barrels of flour weekly. After the 1841 harvest, he shipped 8,112 barrels of flour to New York via the Erie Canal, a record for Ann Arbor up to that time. It became the most important mill in Ann Arbor history.

When Sinclair's mill was destroyed by a fire in 1860, he quickly built the one pictured above and was back in business the next season. The mill changed owners several times, and in 1892 it became part of a conglomerate. The Ann Arbor Milling Company bought it, along with several other mills in the area, and renamed it Argo.

In 1903, the owners built a new dam and improved the mill, but fire claimed it again in 1904-for the last time. With the development of cheaper steam power, water-powered mills were increasingly unable to compete. The dam and mill were sold in 1905 to the Eastern Michigan Edison company (Detroit Edison, later DTE), which was buying up all the water power along the river to generate electricity. Edison built a generating station on the site. After it no longer produced power, it became a transmission substation.","42° 17.304′ N, 83° 44.106′ W",2014,University of Michigan,,1
6,Allen Creek Valley Shapes the Town,Colonial/settler,,"Residents living on the west side in the 1870s drove their buggies or walked across the bridge over Allen Creek, climbing the Liberty Street hill to join the celebration of German American Day. In the distance you can see the rooftops of their homes built after 1845 in what is now the Old West Side. Close by, saw mills, grist mills, tanneries, foundries, and breweries, mainly German-owned, took advantage of the creek as a source of power and water.

From Ann Arbor's founding in 1824 until today, the presence of the waterway has defined the shape of the center of town. The creek provided the site for the city's earliest known bathhouse, an octagonal Victorian structure built over the creek at Liberty and First streets. Early skating parks and swimming areas also were located along the creek. In 1878 the first passengers on James Ashley's new Toledo & Ann Arbor Railroad arrived in town. The railroad followed the valley and spurred increased industrial development along the creek.

By Ann Arbor's centennial in 1924, property owners near the creek, upset by frequent flooding and pollution, demanded that the city put the creek into a storm sewer. Although it was buried in twelve miles of pipe, heavy downpours sometimes exceeded the capacity of the pipe, resulting in flooding along its watershed.","42° 16.781′ N, 83° 44.982′ W",2001,Ann Arbor Historic District Commission,,1
7,Alpha Delta Phi,Colonial/settler,,"On August 18, 2018, the Brothers of the Peninsular Chapter of Alpha Delta Phi re-dedicated this house, originally built in 1910, as a completely renovated home for future generations of Alpha Delts.

Certain Brothers deserve special mention for their leadership in preserving the future of Alpha Delta Phi at the University of Michigan.

VISIONARY: Jason Sparks, P' 2002, President of the Peninsular Society, had the vision to call for and lead this enormous fundraising and renovation effort.
BUILDER: Tom Fitzsimmons, P' 1990, and his company, Huron Contracting, tirelessly led the reconstruction effort.
FUNDING: Art Nicholas, P' 1985 and Sean O'Leary, P' 1991, co-chaired the extraordinarily successful Capital Campaign.
PLAYMAKER: John Hartwig, P' 1967, delivered guidance and unwavering support to all Brothers every step of the way.
DONORS: More than 200 Brothers with gifts, large and small, answered the call to support the Peninsular Chapter.","42° 16.456′ N, 83° 44.469′ W",2018,Brothers of the Peninsular Chapter of Alpha Delta Phi,,1
8,Alumni Memorial Hall,Colonial/settler,,"Following the U.S. Civil War (1861-1865) a movement began to create a war memorial to University of Michigan persons who had served in any of the nation's wars. A committee of the Alumni Association sought to raise funds for a suitable memorial, and in 1903, a plan was agreed upon that would lead to the construction of a memorial hall on Central Campus. In addition to being a war memorial, the Building was to serve as a gathering place for the University community, contain offices for the Alumni Association, and house the University's growing art collections. Designed in a Beaux Arts era classical style by the Detroit firm of Donaldson and Meier, the cornerstone was laid in 1908. Alumni Memorial Hall was completed in 1910 and dedicated as a memorial to ""the long line of noble men and women who have rendered conspicuous service, whether in war or in peace, on the field of battle or in the classroom, to the university and to the country."" In 1967, the Museum of Art expanded to occupy all of Alumni Memorial Hall, which also continues to serve its memorial purpose.","42° 16.521′ N, 83° 44.412′ W",2006,"History and Traditions Committee, University of Michigan",,1
9,Ann Arbor and LGBTQ+ History,Misc.,,"In October 1973, the Ann Arbor City Council debated the city's failure to prosecute lesbian and gay discrimination under its landmark 1972 Human Rights Ordinance. Council members Nancy Wechsler and Jerry DeGrieck came out as lesbian and gay, respectively, in order to emphasize the importance of active enforcement under the law. They were the first elected officials holding public office to come out as LGBTQ+ in the United States. Neither sought reelection, but Kathleen Kozachenko, a 21-year-old University of Michigan student, campaigned for Wechsler's Ward 2 seat and won the position on April 2, 1974, by fifty-two votes, becoming the first openly LGBGQ+ candidate elected to a public office in the United States.","42° 16.885′ N, 83° 44.703′ W",2024,"Michigan Historical Commission, Michigan History Center",,1
