[101] Kempf House: Pri=Colonial/settler, Sec=Education
[102] A Landmark of Civic Pride on Courthouse Square: Pri=Colonial/settler, Sec=Industry & Commerce
[104] The Last Deposit: Pri=Colonial/settler, Sec=Notable Buildings
[105] Law Quadrangle: Pri=Colonial/settler, Sec=Architecture
[106] LeClair Barn: Pri=Colonial/settler, Sec=Settlements & Settlers
[107] Log Cabin: Pri=Colonial/settler, Sec=Agriculture
[108] Lower Level of the Barn: Pri=Colonial/settler, Sec=Notable Buildings
[109] Lower Town Parks, Recreation, and Trails: Pri=Colonial/settler, Sec=Settlements & Settlers
[110] Lower Town's Flour Mills: Pri=Colonial/settler, Sec=Settlements & Settlers
[111] Main Street in the 1890s: Pri=Colonial/settler, Sec=Settlements & Settlers
[113] The Main Street Shopping Experience: Pri=Colonial/settler, Sec=Settlements & Settlers
[115] Manufacturing in Lower Town: The Ann Arbor Agricultural Works: Pri=Colonial/settler, Sec=Industry & Commerce
[116] Martha Cook Building: Pri=Colonial/settler, Sec=Education
[118] A Meeting Place for Ann Arbor's Black Community: Pri=African American/Enslaved/Freed Blacks, Sec=Industry & Commerce
[119] Michigan Becomes a State: Pri=Colonial/settler, Sec=Settlements & Settlers
[120] Michigan Central Railroad Depot: Pri=Colonial/settler, Sec=Railroads & Streetcars
[121] Michigan Chapter of the Scabbard and Blade: Pri=Colonial/settler, Sec=Fraternal or Sororal Organizations
[122] Michigan League: Pri=Colonial/settler, Sec=Architecture
[124] The Michigan Ross Bur Oak: Pri=Colonial/settler, Sec=Education
[126] Michigan Theatre: Pri=Colonial/settler, Sec=Entertainment
[127] Michigan Union: Pri=Colonial/settler, Sec=Architecture
[128] Michigan Union 75th Anniversary: Pri=Colonial/settler, Sec=Notable Buildings
[129] The Michigan Union and the Peace Corps: Pri=Colonial/settler, Sec=Notable Events
[130] Michigan Union Fifty Year History: Pri=Colonial/settler, Sec=Notable Buildings
[131] Michigan's First Jewish Cemetery: Pri=Colonial/settler, Sec=Settlements & Settlers
[132] Native American Trails: Pri=Indigenous, Sec=Colonial/settler
[133] New City Government, New Issues, and a New City Hall: Pri=Colonial/settler, Sec=African Americans
[134] Nichols Arboretum: Pri=Colonial/settler, Sec=Parks & Recreational Areas
[135] Oak Grove Cemetery: Pri=Colonial/settler, Sec=Architecture
[136] Old Main Hospital (1925): Pri=Colonial/settler, Sec=Architecture
[137] The Parker Family & Mill: Pri=Colonial/settler, Sec=Industry & Commerce
[138] Phi Delta Theta Fraternity House: Pri=Colonial/settler, Sec=Fraternal or Sororal Organizations
[139] Pioneer Cemetery: Pri=Colonial/settler, Sec=Settlements & Settlers
[140] Politics and Processions on Courthouse Square: Pri=Colonial/settler, Sec=Entertainment
[141] Power and Transportation: Pri=Colonial/settler, Sec=Railroads & Streetcars
[142] The Power of Fleming Creek: Pri=Colonial/settler, Sec=Agriculture
[143] The President's House: Pri=Colonial/settler, Sec=Notable Buildings
[144] The Professors' Monument: Pri=Colonial/settler, Sec=Science & Medicine
[145] Pump House: Pri=Colonial/settler, Sec=Notable Buildings
[146] Rackham School of Graduate Studies: Pri=Colonial/settler, Sec=African Americans/Enslaved/Freed Blacks/etc.
[147] Redbud Grove: Pri=Colonial/settler, Sec=Horticulture & Forestry
[148] Residential Life in mid-19th Century Ann Arbor: Pri=Colonial/settler, Sec=Education
[149] Revolutionary War Patriot: Pri=Colonial/settler, Sec=Settlements & Settlers
[150] Riverbank Rescue: Pri=Colonial/settler, Sec=Education
[151] Robert Brackett Memorial: Pri=Colonial/settler, Sec=Fraternal or Sororal Organizations
[152] St. Andrew’s Episcopal Church: Pri=Colonial/settler, Sec=Architecture
[153] St. John's Evangelical Lutheran Church: Pri=Colonial/settler, Sec=Settlements & Settlers
[155] St. Patrick's Civil War Memorial: Pri=Colonial/settler, Sec=Churches & Religion
[156] St. Thomas the Apostle Church: Pri=Colonial/settler, Sec=Education
[157] Samuel Denton: Pri=Colonial/settler, Sec=Settlements & Settlers
[158] Schools and Churches: Pri=Colonial/settler, Sec=Education
[159] Schools In Lower Town: Pri=Colonial/settler, Sec=African Americans/Enslaved/Freed Blacks/etc.
[160] A Second Shopping District: Pri=Colonial/settler, Sec=Settlements & Settlers
[161] Shagbark Hickory: Pri=Colonial/settler, Sec=Foriegn nation
[162] Shopping on East Huron Street: Pri=Colonial/settler, Sec=Industry & Commerce
[163] Simpson Memorial Institute: Pri=Colonial/settler, Sec=Architecture
[164] Social and Political Change on South University: Pri=Colonial/settler, Sec=African Americans/Enslaved/Freed Blacks/etc.
[165] South University and Forest Avenues: Pri=Colonial/settler, Sec=Architecture
[167] The Staeblers and the Germania/American Hotel: Pri=Colonial/settler, Sec=Industry & Commerce
[168] The Streets Around Courthouse Square: Pri=Colonial/settler, Sec=Industry & Commerce
[169] A Supply Side of Town: Pri=Colonial/settler, Sec=Railroads & Streetcars
[170] Sutherland–Wilson Farm: Pri=Colonial/settler, Sec=Settlements & Settlers
[171] Tappan Hall: Pri=Colonial/settler, Sec=Architecture
[172] Terhune Memorial Park: Pri=Colonial/settler, Sec=Settlements & Settlers
[173] Thomas Church / Saint Thomas Cemetery: Pri=Colonial/settler, Sec=Settlements & Settlers
[174] Three Generations of Metzgers on Washington Street: Pri=Colonial/settler, Sec=Settlements & Settlers
[175] Ticknor-Campbell House: Pri=Colonial/settler, Sec=Settlements & Settlers
[176] Town and Gown: Entertainment and Changing Culture: Pri=Colonial/settler, Sec=Education
[177] Transportation, Electric Power, and Gas: Pri=Colonial/settler, Sec=Industry & Commerce
[178] The Underground Railroad: Pri=Colonial/settler, Sec=African Americans/Enslaved/Freed Blacks/etc.
[179] The University Expands: Pri=Colonial/settler, Sec=Architecture
[180] University of Michigan Campus 1907: Pri=Colonial/settler, Sec=Architecture
[182] Upper Level of the Barn: Pri=Colonial/settler, Sec=Notable Buildings
[183] Uptown Theaters: Pri=Colonial/settler, Sec=Entertainment
[184] Village of Dixboro: Pri=Colonial/settler, Sec=Churches & Religion
[185] Washtenaw County War Memorial: Pri=Colonial/settler, Sec=War, US Civil
[186] The Washtenaw House and Lower Town Decline: Pri=Colonial/settler, Sec=Industry & Commerce
[187] The Washtenaw House Hotel: Pri=Colonial/settler, Sec=Settlements & Settlers
[188] Weeping Japanese Cherry (Prunus subhirtella 'Pendula'): Pri=Colonial/settler, Sec=Foriegn nation
[189] Welcome to the Parker Family Mills!: Pri=Colonial/settler, Sec=Industry & Commerce
[190] West Engineering - West Hall: Pri=Colonial/settler, Sec=Architecture
[191] White Willow (Salix alba): Pri=Colonial/settler, Sec=Horticulture & Forestry
[192] William L. Clements Library: Pri=Colonial/settler, Sec=Architecture
[193] Wood Shed (archival; permanently removed): Pri=Colonial/settler, Sec=Notable Buildings
[194] Wood Shed: Pri=Colonial/settler, Sec=Notable Buildings
[195] Xi Psi Phi Fraternity (Bench Marker): Pri=Colonial/settler, Sec=Education
[196] Native American Land Gift 1817: Pri=Indigenous, Sec=Colonial/settler
